[2025-03-03 02:27:59,982] INFO [Controller id=0 epoch=13] Sending UpdateMetadata request to brokers Set() for 0 partitions (state.change.logger)
[2025-03-03 03:06:46,609] INFO [Controller id=0 epoch=14] Sending UpdateMetadata request to brokers Set(0) for 0 partitions (state.change.logger)
[2025-03-03 03:06:46,687] INFO [Controller id=0 epoch=14] Sending LeaderAndIsr request to broker 0 with 89 become-leader and 0 become-follower partitions (state.change.logger)
[2025-03-03 03:06:46,693] INFO [Controller id=0 epoch=14] Sending UpdateMetadata request to brokers Set(0) for 89 partitions (state.change.logger)
[2025-03-03 03:06:46,888] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 89 partitions (state.change.logger)
[2025-03-03 03:06:46,951] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 14 as part of the become-leader transition for 89 partitions (state.change.logger)
[2025-03-03 03:06:46,998] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,009] INFO [Broker id=0] Leader connect-status-1 with topic id Some(JqncmcbNT8WGrMbUXGMutA) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,011] INFO [Broker id=0] Leader connect-offsets-8 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,016] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,020] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,025] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 13 with partition epoch 0, high watermark 13, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,026] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,031] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 31 with partition epoch 0, high watermark 31, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,034] INFO [Broker id=0] Leader connect-offsets-5 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,041] INFO [Broker id=0] Leader coupon-use-0 with topic id Some(8307nOHkR46ccuPyxw1gMA) starts at leader epoch 0 from offset 45 with partition epoch 0, high watermark 45, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,041] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,045] INFO [Broker id=0] Leader connect-offsets-24 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,049] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,058] INFO [Broker id=0] Leader connect-offsets-21 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,064] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,069] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 34 with partition epoch 0, high watermark 34, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,069] INFO [Broker id=0] Leader cart-rollback-0 with topic id Some(T-j6j-2_SBOl03p9HjqH8Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,075] INFO [Broker id=0] Leader connect-offsets-2 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,079] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
